source,target
0,2
0,8
0,10
0,13
0,20
0,24
0,27
0,28
0,43
1,8
1,11
1,13
1,23
1,25
1,34
1,41
2,22
2,23
2,24
2,28
2,34
2,51
2,68
3,8
3,15
3,21
3,26
3,28
3,33
3,53
4,5
4,7
4,10
4,25
4,31
4,53
5,6
5,10
5,17
5,24
5,89
6,9
6,15
6,19
6,30
6,38
7,8
7,12
7,14
7,19
8,9
8,13
8,20
8,26
8,31
8,32
8,33
9,18
9,21
9,28
9,29
9,35
9,36
9,44
10,11
10,19
10,24
10,30
10,42
10,43
10,51
11,15
11,24
11,35
11,38
12,14
12,17
12,27
12,34
12,45
12,47
13,23
13,31
13,38
13,40
13,47
14,21
14,22
14,31
14,35
14,39
14,49
14,59
15,23
15,26
15,28
15,31
15,52
15,63
15,89
17,19
17,24
17,28
17,52
17,53
17,79
17,100
18,23
18,35
18,44
18,47
19,23
19,25
19,27
19,30
19,32
19,34
19,40
19,80
20,28
20,29
20,62
20,80
21,25
21,26
21,27
21,33
21,36
21,42
21,84
22,23
22,26
22,27
22,33
22,67
22,71
22,83
23,24
23,28
23,42
23,71
24,27
24,47
24,56
24,60
25,34
25,36
25,51
25,52
25,67
26,31
26,62
26,84
26,89
27,32
27,34
27,42
27,46
27,53
27,63
28,35
28,38
29,38
29,46
30,38
30,48
30,50
30,51
30,86
31,33
31,35
31,48
32,36
32,42
32,46
32,47
33,48
33,67
34,49
35,36
35,54
35,69
36,42
36,43
36,47
37,39
37,44
37,48
39,40
39,45
39,50
39,53
40,41
40,44
40,48
41,44
42,51
43,48
43,51
43,53
44,53
46,49
48,52
48,53
50,52
50,61
51,63
54,55
54,59
54,60
54,65
54,69
54,73
54,98
54,103
54,104
55,61
55,82
55,85
55,86
55,92
56,65
56,67
56,76
56,84
56,86
56,98
56,101
57,59
57,64
57,68
57,70
57,77
57,79
57,83
57,88
58,64
58,70
58,73
58,75
58,81
58,83
58,85
58,86
58,88
58,106
59,60
59,61
59,65
59,66
59,73
59,76
59,82
59,88
59,89
60,62
60,71
60,83
60,87
60,89
60,103
60,107
61,63
61,64
61,71
61,84
61,102
62,68
62,76
62,80
62,82
62,96
62,103
62,92
63,65
63,66
63,67
63,76
63,82
63,85
63,88
63,97
63,98
63,92
64,66
64,68
64,74
64,76
64,77
64,84
64,85
64,96
64,103
64,93
65,67
65,76
65,78
65,86
65,105
65,93
66,68
66,80
66,81
66,85
66,89
66,92
67,69
67,83
67,84
67,85
68,69
68,74
68,82
68,83
68,101
68,105
69,72
69,96
69,90
70,78
70,79
70,81
70,85
70,88
70,97
71,72
71,76
71,96
71,95
72,83
72,88
72,105
72,106
73,79
73,85
73,86
73,104
73,106
74,76
74,81
74,85
74,88
74,89
74,97
75,81
75,84
75,88
75,105
75,107
76,78
76,81
76,87
76,89
76,99
76,101
76,93
77,87
78,84
78,87
78,105
78,92
78,95
79,83
79,87
79,89
79,91
80,104
81,84
82,101
82,91
82,93
82,95
83,84
83,89
83,100
83,101
83,107
83,92
84,101
85,87
85,91
86,93
87,89
88,99
88,102
96,102
96,91
97,102
97,106
97,107
97,90
97,91
98,104
98,90
98,92
99,103
99,104
100,106
100,107
100,92
101,105
101,93
101,94
102,105
102,107
103,106
103,92
103,94
105,91
105,93
106,92
107,93
90,91
90,92
92,93
